"Ping","Server","CPU Average / 30 sec","CPU Max","CPU Min","Memory Usage","%Ocupado C:","%Ocupado D:","%Ocupado E:","DiskQueue","3 TopProcess","3 TopProcessPercent","UpTime"
"GREENOK","XARISV0700P","2,19%","4,69%","0,00%","53.91%","C:55.76%","D:53.5%","E:59.24%","0","WmiApSrv_3760--SCService64_3656--Srvhost_3632","0--0--0","0"
"GREENOK","XARISV0701P","1,96%","3,91%","0,78%","55.22%","C:55.11%","D:53.7%","E:60.52%","0","WmiApSrv_3804--SCService64_3696--Srvhost_3676","0--0--0","0"
"GREENOK","XARISV0702P","1,57%","6,26%","0,01%","63.09%","C:55.11%","D:53.7%","E:65.81%","0","WmiApSrv_3780--SCService64_3676--Srvhost_3644","0--0--0","0"
"GREENOK","XARISV0703P","2,89%","6,25%","0,78%","62.11%","C:55.1%","D:53.5%","E:65.49%","0","WmiApSrv_3780--SCService64_3684--Srvhost_3664","0--0--0","0"
"GREENOK","XARISV0704P","2,04%","5,47%","0,00%","63.13%","C:55.77%","D:53.7%","E:65.03%","0","WmiApSrv_3772--SCService64_3668--Srvhost_3648","0--0--0","0"
"GREENOK","XARISV0705P","2,42%","5,47%","0,78%","63.21%","C:55.77%","D:53.7%","E:65.34%","0","WmiApSrv_3724--SCService64_3628--Srvhost_3604","0--0--0","0"
"GREENOK","XARISV0706P","2,35%","17,97%","0,00%","55.79%","C:55.1%","D:53.5%","E:60.34%","0","WmiApSrv_3792--SCService64_3688--Srvhost_3664","0--0--0","0"
"GREENOK","XARISV0707P","1,25%","3,13%","0,00%","64.4%","C:55.1%","D:51.72%","E:65.05%","0","WmiApSrv_3704--SCService64_3604--Srvhost_3576","0--0--0","0"
"GREENOK","XARISV0708P","2,82%","8,60%","0,79%","60.5%","C:55.76%","D:53.5%","E:64.53%","0","WmiApSrv_3800--SCService64_3700--Srvhost_3680","0--0--0","0"
"GREENOK","XARISV0709P","3,05%","6,25%","0,79%","61.94%","C:55.1%","D:51.72%","E:64.74%","0","WmiApSrv_3780--SCService64_3676--Srvhost_3648","0--0--0","0"
"GREENOK","XARISV0710P","1,96%","3,13%","0,00%","61.79%","C:55.76%","D:51.72%","E:62.54%","0","WmiApSrv_3784--SCService64_3688--Srvhost_3652","0--0--0","0"
"GREENOK","XARISV0711P","0,79%","2,35%","0,00%","61.77%","C:55.76%","D:53.7%","E:64.89%","0","SemsService_3876--WmiApSrv_3792--SCService64_3688","0--0--0","0"
