"Ping","Server","CPU Average / 30 sec","CPU Max","CPU Min","Memory Usage","%Ocupado C:","%Ocupado D:","%Ocupado E:","DiskQueue","3 TopProcess","3 TopProcessPercent","UpTime"
"GREENOK","XACCOV0001P","0,35%","1,56%","0,00%","7.91%","C:61.05%","D:64.58%","E:40.6%","0","VSSVC_5096--AppVClient_4592--WmiApSrv_3828","0--0--0","0"
"GREENOK","XACCOV0002P","0,55%","3,91%","0,00%","7.91%","C:61.05%","D:64.58%","E:41.4%","0","VSSVC_3944--AppVClient_4596--WmiApSrv_3828","0--0--0","0"
"GREENOK","XAPBSV3015P","9,36%","20,59%","5,47%","52.87%","C:68.64%","D:41.7%","E:71.47%","0","StatusTray#9--explorer#9--concentr#9","0--0--0","0"
"GREENOK","XAPBSV3024P","14,41%","21,09%","7,81%","45.44%","C:69.07%","D:41.97%","E:71.23%","0","ih0500--OUTLOOK--iexplore#16","13--13--4","0"
"GREENOK","XAPBSV3025P","16,94%","24,41%","7,70%","48.6%","C:68.99%","D:41.97%","E:70.46%","0","javaw#4--javaw#6--javaw#26","21--12--8","0"
"GREENOK","XAPBSV3026P","8,19%","13,87%","5,86%","46.25%","C:69.47%","D:41.72%","E:70.81%","0","javaw#4--javaw#46--WinTCPInW#10","99--54--18","0"
"GREENOK","XAPBSV3027P","19,36%","33,01%","4,98%","47.45%","C:68.78%","D:41.84%","E:70.76%","0","iexplore#15--javaw#18--javaw#34","8--4--4","0"
"GREENOK","XAPBSV3028P","12,13%","29,30%","4,78%","41.84%","C:68.42%","D:41.65%","E:69.94%","0","javaw--javaw#10--javaw#40","9--4--4","0"
"GREENOK","XAPBSV3029P","15,60%","27,71%","7,43%","45.39%","C:69.23%","D:41.77%","E:70.44%","0","javaw#26--WinTCPInW#6--OUTLOOK#2","0--0--0","0"
"GREENOK","XAPBSV3030P","17,96%","31,12%","7,32%","50.65%","C:69.4%","D:41.91%","E:70.62%","0","javaw#32--javaw#14--javaw#26","90--43--12","0"
"GREENOK","XAPBSV3031P","19,31%","32,61%","10,82%","46.61%","C:68.58%","D:41.78%","E:69.93%","0","javaw#20--javaw#21--OUTLOOK","65--8--8","0"
"GREENOK","XAPBSV3033P","39,60%","52,39%","32,03%","45.12%","C:69.14%","D:42.26%","E:70.9%","0","javaw#8--javaw#10--javaw#14","96--51--18","0"
"GREENOK","XAPBSV3034P","35,94%","52,38%","17,64%","47.23%","C:68.58%","D:41.84%","E:69.59%","0","javaw#38--javaw#5--explorer#3","7--7--7","0"
"GREENOK","XAPBSV3035P","46,49%","69,53%","24,99%","49.3%","C:68.79%","D:41.72%","E:69.96%","0","javaw#10--iexplore#31--javaw#38","100--50--39","0"
"GREENOK","XAPBSV3036P","35,32%","53,81%","24,49%","41.23%","C:68.4%","D:41.73%","E:69.85%","0","javaw#12--javaw#24--javaw#38","12--8--8","0"
"GREENOK","XAPBSV3037P","14,92%","22,07%","5,28%","46.51%","C:68.91%","D:41.67%","E:69.49%","0","iexplore#9--javaw#14--javaw#46","60--7--3","0"
"GREENOK","XAPBSV3038P","49,72%","76,00%","25,58%","48.52%","C:68.91%","D:41.94%","E:69.92%","0","ReconnAct#8--concentr#8--Receiver#8","0--0--0","0"
"GREENOK","XAPBSV3039P","41,26%","59,57%","24,61%","47.22%","C:69.15%","D:41.73%","E:70.48%","0","AcroRd32#3--AcroRd32#2--iexplore#7","53--26--26","0"
"GREENOK","XAPBSV3040P","55,50%","69,36%","32,03%","48.66%","C:68.49%","D:41.81%","E:69.86%","0","javaw#22--javaw#20--javaw#30","100--21--17","0"
"GREENOK","XAPBSV3041P","35,78%","48,67%","19,43%","51.36%","C:68.88%","D:41.96%","E:69.49%","0","KX5000#1--splwow64#4--splwow64#5","0--0--0","0"
"GREENOK","XAPBSV3042P","25,68%","40,48%","10,80%","47.56%","C:68.31%","D:41.65%","E:69.29%","0","javaw#22--javaw#36--javaw#6","15--15--11","0"
"GREENOK","XAPBSV3043P","82,40%","100,00%","29,50%","44.96%","C:68.42%","D:41.73%","E:68.76%","0","winlogon#9--ssonsvr#8--taskhost#8","0--0--0","0"
"GREENOK","XAPBSV3044P","38,69%","69,01%","25,08%","50.69%","C:71.09%","D:41.86%","E:72.61%","0","javaw#14--iexplore#18--javaw#26","100--88--81","0"
"GREENOK","XAPBSV3045P","33,99%","46,93%","16,38%","47.89%","C:68.62%","D:41.86%","E:69.69%","0","KX5000#10--iexplore#19--javaw#28","77--31--17","0"
