"Ping","Server","CPU Average / 30 sec","CPU Max","CPU Min","Memory Usage","%Ocupado C:","%Ocupado D:","%Ocupado E:","DiskQueue","3 TopProcess","3 TopProcessPercent","UpTime"
"GREENOK","XAPBSV3000P","10,56%","20,33%","3,44%","26.82%","C:69.25%","D:41.43%","E:72.09%","0","Norskale Agent Host Service--javaw#24--javaw#18","44--9--4","0"
"GREENOK","XAPBSV3001P","28,72%","41,07%","20,23%","38.82%","C:69.11%","D:41.32%","E:69.97%","0","iexplore#10--javaw#30--iexplore#8","63--63--54","0"
"GREENOK","XAPBSV3005P","10,18%","19,93%","4,51%","42.65%","C:69.4%","D:41.4%","E:70.6%","0","lync#8--explorer#5--OutlookEmbed365#1","9--4--4","0"
"GREENOK","XAPBSV3006P","15,97%","23,41%","8,91%","43.74%","C:69.12%","D:41.6%","E:70.95%","0","DirectorComServer#6--javaw#25--ABTelnetPRC#6","0--0--0","0"
"GREENOK","XAPBSV3007P","25,55%","38,25%","15,86%","40.58%","C:69.04%","D:41.46%","E:70.33%","0","iexplore#15--javaw#18--iexplore#1","69--19--4","0"
"GREENOK","XAPBSV3008P","18,39%","21,69%","14,27%","41.57%","C:69.73%","D:41.42%","E:71.74%","0","javaw#8--lync#3--VDARedirector#6","14--4--0","0"
"GREENOK","XAPBSV3009P","11,33%","29,23%","4,92%","40.9%","C:68.97%","D:41.52%","E:70.29%","0","javaw--iexplore#3--javaw#14","87--13--9","0"
"GREENOK","XAPBSV3010P","27,53%","49,38%","9,28%","39.9%","C:68.63%","D:41.4%","E:69.25%","0","javaw#24--javaw#16--UcMapi#6","83--24--9","0"
"GREENOK","xapcov0111p","12,30%","27,37%","6,38%","28.16%","C:68.11%","D:41.55%","E:40.9%","0","iexplore#10--javaw#6--javaw#13","42--4--4","0"
"GREENOK","xapcov0142p","17,38%","31,40%","4,22%","26.9%","C:67.4%","D:41.46%","E:40.27%","0","OUTLOOK#4--javaw#8--javaw#26","53--24--9","0"
"GREENOK","XAPISV3024P","13,14%","20,94%","7,27%","48.2%","C:69.45%","D:41.3%","E:71.94%","0","iexplore#4--iexplore#26--javaw#26","38--19--9","0"
"GREENOK","XAPISV3025P","15,23%","22,78%","9,31%","36.49%","C:68.69%","D:41.39%","E:69.07%","0","AcroRd32#1--OUTLOOK#3--javaw#14","30--25--10","0"
"GREENOK","XAPISV3026P","7,71%","15,30%","2,81%","39.57%","C:68.83%","D:41.56%","E:70.54%","0","iexplore#18--iexplore#12--OutlookEmbed365","4--4--4","0"
"GREENOK","XAPISV3027P","21,42%","33,71%","6,43%","40.25%","C:69.22%","D:41.44%","E:70.33%","0","iexplore#6--javaw#2--OUTLOOK#6","14--9--9","0"
"GREENOK","XAPISV3028P","26,11%","30,19%","20,48%","43.07%","C:69.11%","D:41.37%","E:70.69%","0","javaw#4--javaw#34--javaw#20","98--19--19","0"
"GREENOK","XAPISV3029P","20,35%","37,46%","7,16%","47.29%","C:69.77%","D:41.41%","E:71.21%","0","iexplore#5--iexplore#3--iexplore#10","24--19--14","0"
"GREENOK","XAPISV3030P","27,35%","37,13%","16,83%","48.17%","C:69.67%","D:41.53%","E:69.65%","0","lsass--javaw#12--iexplore#8","14--4--4","0"
"GREENOK","XAPISV3031P","7,99%","10,98%","5,73%","39.75%","C:68.57%","D:41.35%","E:68.03%","0","iexplore#4--iexplore#1--OutlookEmbed365#1","14--9--4","0"
"GREENOK","XAPISV3417P","33,27%","42,45%","20,82%","39.82%","C:69.31%","D:41.4%","E:70.98%","0","javaw#14--javaw#19--javaw#26","51--34--12","0"
"GREENOK","XAPISV3418P","27,06%","41,47%","16,10%","41.06%","C:68.95%","D:41.53%","E:71.08%","0","IeEmbed#1--iexplore#10--javaw#18","91--22--13","0"
"GREENOK","XAPISV3419P","18,69%","30,57%","11,71%","39.23%","C:69.09%","D:41.54%","E:71.66%","0","UcMapi--iexplore#4--IeEmbed","13--9--4","0"
"GREENOK","XAPISV3420P","34,80%","42,47%","27,82%","39.99%","C:69.28%","D:41.41%","E:71.72%","0","javaw#22--javaw#20--javaw#2","30--30--26","0"
"GREENOK","XAPISV3421P","30,12%","45,56%","21,46%","42.57%","C:69.22%","D:41.39%","E:70.57%","0","lync#4--javaw#26--javaw#2","26--21--17","0"
"GREENOK","XAPISV3422P","47,17%","60,34%","34,17%","40.55%","C:68.86%","D:41.31%","E:68.54%","0","lsass--javaw#23--javaw#10","17--17--17","0"
"GREENOK","XAPISV3423P","27,08%","40,99%","16,72%","37.99%","C:68.76%","D:41.64%","E:70.08%","0","javaw#14--javaw#2--javaw#6","17--8--8","0"
"GREENOK","XAPISV3424P","43,91%","60,59%","31,98%","41.18%","C:69.2%","D:41.48%","E:69.73%","0","javaw--iexplore#21--iexplore#11","100--36--27","0"
