"Ping","Server","CPU Average / 30 sec","CPU Max","CPU Min","Memory Usage","%Ocupado C:","%Ocupado D:","%Ocupado E:","DiskQueue","3 TopProcess","3 TopProcessPercent","UpTime"
"GREENOK","XACBSV3010P","82,58%","90,24%","75,10%","37.64%","C:72.26%","D:41.49%","E:77.85%","0","javaw#10--spoolsv--OUTLOOK#14","100--100--90","0"
"GREENOK","XACBSV3011P","37,60%","46,84%","21,97%","38.94%","C:72.98%","D:41.12%","E:73.33%","0","iexplore#41--OUTLOOK--javaw#12","100--25--21","0"
"GREENOK","XACBSV3012P","27,30%","45,67%","13,33%","41.8%","C:74.28%","D:41.36%","E:74.36%","0","iexplore#22--javaw#18--iexplore#20","20--17--14","0"
"GREENOK","XACBSV3013P","45,72%","67,05%","25,71%","43.55%","C:70.87%","D:41.5%","E:72.44%","0","Mercvrio.SLInicio--OUTLOOK#6--EXCEL#1","67--43--40","0"
"GREENOK","XACBSV3014P","81,01%","93,62%","64,57%","43.9%","C:72.34%","D:41.57%","E:72.96%","0","iexplore#21--iexplore#8--iexplore#18","100--71--43","0"
"GREENOK","XACBSV3015P","35,66%","53,21%","21,40%","39.12%","C:69.53%","D:41.68%","E:73.28%","0","javaw#32--OUTLOOK#4--iexplore#9","100--14--14","0"
"GREENOK","XACBSV3028P","57,72%","71,70%","44,18%","43.44%","C:70.64%","D:41.71%","E:71.55%","0","iexplore#25--iexplore#22--lsass","100--100--53","0"
"GREENOK","XACBSV3029P","41,98%","58,84%","29,12%","38.11%","C:69.98%","D:41.31%","E:70.83%","0","javaw#6--MSOSYNC#1--splwow64#5","100--100--49","0"
"GREENOK","XACBSV3030P","56,26%","71,98%","44,83%","41.4%","C:73.01%","D:41.09%","E:73.27%","0","iexplore#17--MSOSYNC#2--iexplore#40","100--89--52","0"
"GREENOK","XACBSV3031P","32,65%","50,47%","20,94%","38.63%","C:72.49%","D:41.34%","E:73.22%","0","iexplore#21--iexplore#20--javaw#28","100--54--41","0"
"GREENOK","XACBSV3202P","21,12%","32,65%","9,63%","46.07%","C:71.94%","D:41.37%","E:75.18%","0","javaw#10--javaw#24--IeEmbed#4","100--65--36","0"
"GREENOK","XACBSV3203P","22,40%","34,28%","12,76%","40.05%","C:72.51%","D:41.43%","E:73.12%","0","wfica32#2--javaw#10--wfica32","15--11--11","0"
"GREENOK","XACBSV3204P","17,14%","28,50%","12,91%","40.1%","C:70.08%","D:41.31%","E:71.61%","0","OUTLOOK#6--notepad++--wfica32#3","99--43--11","0"
"GREENOK","XACBSV3205P","46,85%","73,81%","35,07%","44.29%","C:70.4%","D:41.26%","E:71.56%","0","iexplore#26--lync#5--OUTLOOK#4","100--10--7","0"
"GREENOK","XACBSV3206P","27,55%","49,23%","12,31%","41.1%","C:70.73%","D:41.18%","E:71.34%","0","iexplore#39--wfica32#2--wfica32","14--11--7","0"
"GREENOK","XACBSV3207P","48,05%","61,27%","30,60%","46.97%","C:70.14%","D:41.54%","E:70.93%","0","iexplore#40--iexplore#5--iexplore#10","100--100--57","0"
"GREENOK","XACBSV3208P","22,93%","37,90%","13,07%","37.51%","C:68.79%","D:41.55%","E:70.96%","0","wfica32#2--wfica32--IeEmbed#6","16--16--12","0"
