"Ping","Server","CPU Average / 30 sec","CPU Max","CPU Min","Memory Usage","%Ocupado C:","%Ocupado D:","%Ocupado E:","DiskQueue","3 TopProcess","3 TopProcessPercent","UpTime"
"GREENOK","XACBSV3010P","58,02%","74,61%","40,60%","40.47%","C:73.15%","D:41.49%","E:77.85%","0","SelfService--iexplore#6--iexplore#2","83--81--65","0"
"GREENOK","XACBSV3010P","58,01%","75,02%","40,21%","40.47%","C:73.15%","D:41.49%","E:77.85%","0","iexplore#6--SelfService--iexplore#2","89--86--83","0"
"GREENOK","XACBSV3011P","57,72%","70,92%","35,94%","39%","C:73.25%","D:41.18%","E:73.8%","0","javaw#12--lync#3--lsass","33--18--14","0"
"GREENOK","XACBSV3011P","57,65%","70,95%","35,94%","39%","C:73.25%","D:41.18%","E:73.8%","0","EXCEL#3--pcscm#1--iexplore#20","0--0--0","0"
"GREENOK","XACBSV3012P","36,35%","48,47%","14,17%","44.64%","C:74.7%","D:41.38%","E:74.88%","0","OUTLOOK#10--iexplore#11--Sentinel#3","0--0--0","0"
"GREENOK","XACBSV3012P","36,35%","49,64%","20,20%","44.64%","C:74.7%","D:41.38%","E:74.88%","0","OUTLOOK#10--iexplore#11--Sentinel#3","0--0--0","0"
"GREENOK","XACBSV3013P","49,67%","63,58%","39,66%","44.64%","C:70.77%","D:41.59%","E:72.54%","0","javaw#12--Mercvrio.SLInicio--OUTLOOK#5","70--50--28","0"
"GREENOK","XACBSV3013P","49,71%","63,26%","39,03%","44.64%","C:70.77%","D:41.59%","E:72.54%","0","javaw#12--iexplore#18--javaw#2","64--20--14","0"
"GREENOK","XACBSV3014P","49,78%","76,67%","23,27%","46.11%","C:72.61%","D:41.57%","E:73.12%","0","javaw#13--iexplore#20--javaw#19","100--45--6","0"
"GREENOK","XACBSV3014P","49,90%","76,52%","23,20%","46.11%","C:72.61%","D:41.57%","E:73.12%","0","javaw#13--iexplore#20--iexplore#18","100--61--22","0"
"GREENOK","XACBSV3015P","68,42%","84,07%","61,19%","40.29%","C:69.43%","D:41.68%","E:73.28%","0","javaw#34--iexplore#24--iexplore#26","100--94--45","0"
"GREENOK","XACBSV3015P","69,21%","88,38%","60,13%","40.28%","C:69.43%","D:41.68%","E:73.28%","0","javaw#34--iexplore#24--KX5000#1","100--53--30","0"
"GREENOK","XACBSV3028P","25,86%","41,61%","14,30%","45.81%","C:70.79%","D:41.68%","E:71.82%","0","iexplore#21--EXCEL#4--javaw#26","45--24--10","0"
"GREENOK","XACBSV3028P","25,78%","41,75%","15,17%","45.81%","C:70.79%","D:41.68%","E:71.82%","0","OUTLOOK#10--iexplore#21--javaw#6","43--23--15","0"
"GREENOK","XACBSV3029P","56,41%","74,57%","43,94%","39.8%","C:70.42%","D:41.33%","E:71.24%","0","MSOSYNC#1--POWERPNT--iexplore#1","100--81--69","0"
"GREENOK","XACBSV3029P","56,49%","73,85%","40,96%","39.8%","C:70.42%","D:41.33%","E:71.24%","0","POWERPNT--MSOSYNC#1--javaw#14","95--91--16","0"
"GREENOK","XACBSV3030P","87,74%","99,03%","73,53%","45.74%","C:73.46%","D:41.18%","E:73.84%","0","Receiver#13--iexplore#17--MSOSYNC#2","92--92--89","0"
"GREENOK","XACBSV3030P","88,30%","99,42%","72,37%","45.73%","C:73.46%","D:41.18%","E:73.84%","0","iexplore#17--Receiver#13--lync#12","95--86--83","0"
"GREENOK","XACBSV3031P","30,26%","41,12%","16,84%","40.32%","C:73.32%","D:41.34%","E:73.75%","0","IeEmbed#3--ssonsvr#12--icak2meng#12","0--0--0","0"
"GREENOK","XACBSV3031P","30,30%","40,82%","16,56%","40.33%","C:73.32%","D:41.34%","E:73.75%","0","javaw#29--javaw--wfica32#2","87--51--19","0"
"GREENOK","XACBSV3202P","14,32%","23,23%","7,45%","44.84%","C:71.75%","D:41.44%","E:75.39%","0","iexplore#5--iexplore#20--iexplore#29","68--30--21","0"
"GREENOK","XACBSV3202P","14,21%","26,54%","7,84%","44.84%","C:71.75%","D:41.44%","E:75.39%","0","iexplore#5--iexplore#27--explorer#9","38--21--16","0"
"GREENOK","XACBSV3203P","24,48%","34,31%","15,77%","41.31%","C:72.82%","D:41.49%","E:73.54%","0","javaw#4--iexplore#22--UcMapi#5","30--16--13","0"
"GREENOK","XACBSV3203P","24,21%","34,97%","15,19%","41.31%","C:72.82%","D:41.49%","E:73.54%","0","OUTLOOK#4--iexplore#22--javaw#4","59--33--29","0"
"GREENOK","XACBSV3204P","29,74%","45,73%","19,18%","42.16%","C:70.46%","D:41.31%","E:72.07%","0","EXCEL#8--SelfService--OUTLOOK#7","84--81--12","0"
"GREENOK","XACBSV3204P","29,06%","43,44%","21,71%","42.17%","C:70.46%","D:41.31%","E:72.07%","0","EXCEL#8--SelfService--OUTLOOK","98--30--11","0"
"GREENOK","XACBSV3205P","26,47%","47,77%","13,07%","48.35%","C:70.66%","D:41.27%","E:71.61%","0","bash#4--conhost#6--csrss#14","0--0--0","0"
"GREENOK","XACBSV3205P","27,69%","43,48%","15,69%","48.35%","C:70.66%","D:41.27%","E:71.61%","0","wsmprovhost--iexplore#35--OUTLOOK#7","76--13--10","0"
"GREENOK","XACBSV3206P","26,27%","53,71%","13,28%","44.15%","C:70.99%","D:41.18%","E:71.65%","0","javaw#22--iexplore#36--iexplore#19","100--23--10","0"
"GREENOK","XACBSV3206P","26,18%","57,27%","13,56%","44.15%","C:70.99%","D:41.18%","E:71.65%","0","javaw#22--iexplore#36--AcroRd32#4","40--18--14","0"
"GREENOK","XACBSV3207P","37,21%","55,99%","26,02%","47.19%","C:70.24%","D:41.55%","E:71.14%","0","java--iexplore#31--javaw#24","9--9--9","0"
"GREENOK","XACBSV3207P","36,47%","53,65%","21,33%","47.19%","C:70.24%","D:41.55%","E:71.14%","0","javaw#24--WINWORD#4--iexplore#31","40--21--14","0"
"GREENOK","XACBSV3208P","24,03%","35,36%","11,73%","37.36%","C:69.33%","D:41.55%","E:71.69%","0","iexplore#8--iexplore#9--OUTLOOK#4","20--20--16","0"
"GREENOK","XACBSV3208P","23,73%","36,14%","10,45%","37.36%","C:69.33%","D:41.55%","E:71.69%","0","wsmprovhost--wfica32--OUTLOOK#4","16--12--12","0"
"GREENOK","XACBSV3209P","49,80%","66,40%","37,49%","39.02%","C:73.35%","D:41.3%","E:73.99%","0","ssonsvr#13--MsSpellCheckingFacility--icak2meng#13","0--0--0","0"
"GREENOK","XACBSV3209P","49,33%","66,04%","35,01%","39.04%","C:73.35%","D:41.3%","E:73.99%","0","ssonsvr#13--MsSpellCheckingFacility--icak2meng#13","0--0--0","0"
"GREENOK","XACBSV3210P","15,31%","21,83%","7,42%","40.2%","C:72.04%","D:41.45%","E:72.84%","0","wfica32#1--javaw#16--wfica32","7--7--7","0"
"GREENOK","XACBSV3210P","14,86%","21,48%","10,41%","40.19%","C:72.04%","D:41.45%","E:72.84%","0","wsmprovhost--iexplore#3--wfica32","16--8--8","0"
"GREENOK","XACBSV3211P","72,48%","96,50%","40,68%","45.36%","C:70.77%","D:41.71%","E:71.96%","0","javaw#38--javaw#2--iexplore#10","100--33--24","0"
"GREENOK","XACBSV3211P","72,85%","95,91%","43,41%","45.36%","C:70.77%","D:41.71%","E:71.96%","0","DirectorComServer#11--Sentinel#4--javaw#28","0--0--0","0"
"GREENOK","XACBSV3212P","33,26%","43,94%","19,91%","40.59%","C:71.08%","D:41.33%","E:72.59%","0","csrss#13--IeEmbed#1--ssonsvr#11","0--0--0","0"
"GREENOK","XACBSV3212P","33,07%","43,94%","18,33%","40.6%","C:71.08%","D:41.33%","E:72.59%","0","iexplore#21--winlogon#18--notepad++","100--99--47","0"
"GREENOK","XACBSV3213P","31,83%","50,15%","20,71%","40.36%","C:73.88%","D:41.17%","E:74.35%","0","PDFCreator--EXCEL#2--AcroRd32#2","91--35--21","0"
"GREENOK","XACBSV3213P","31,53%","46,80%","20,35%","40.36%","C:73.88%","D:41.17%","E:74.35%","0","PDFCreator--EXCEL#2--wfica32#5","99--42--19","0"
"GREENOK","XACBSV3214P","52,82%","73,14%","36,36%","50.3%","C:72.1%","D:41.59%","E:73.99%","0","javaw#26--javaw#33--iexplore#2","100--99--66","0"
"GREENOK","XACBSV3214P","52,34%","75,28%","36,81%","50.3%","C:72.1%","D:41.59%","E:73.99%","0","javaw#26--javaw#33--iexplore#14","100--48--45","0"
"GREENOK","XACBSV3215P","31,36%","50,15%","15,94%","46.81%","C:74.11%","D:41.42%","E:76.43%","0","OUTLOOK#10--IeEmbed--AcroRd32","93--16--8","0"
"GREENOK","XACBSV3215P","30,87%","48,00%","16,53%","46.81%","C:74.11%","D:41.42%","E:76.43%","0","OUTLOOK#10--IeEmbed--WINWORD#1","95--28--14","0"
"GREENOK","XACBSV3216P","24,20%","40,84%","14,85%","44.89%","C:72.69%","D:41.58%","E:73.68%","0","javaw#2--OUTLOOK--OUTLOOK#4","13--9--9","0"
"GREENOK","XACBSV3216P","24,19%","40,78%","15,16%","44.89%","C:72.69%","D:41.58%","E:73.68%","0","javaw#17--wfica32#5--wfica32","11--7--7","0"
"GREENOK","XACBSV3217P","48,37%","54,43%","41,97%","51.17%","C:72.03%","D:41.81%","E:72.79%","0","MSOSYNC#2--OUTLOOK#10--javaw#2","98--11--11","0"
"GREENOK","XACBSV3217P","48,68%","58,09%","40,78%","51.18%","C:72.03%","D:41.81%","E:72.79%","0","MSOSYNC#2--POWERPNT--OUTLOOK#8","91--16--10","0"
"GREENOK","XACBSV3218P","34,08%","39,89%","29,20%","44.1%","C:71.56%","D:41.6%","E:72.38%","0","FocusManagerPRC#1--ABTelnetPRC#6--javaw#22","0--0--0","0"
"GREENOK","XACBSV3218P","34,05%","39,70%","31,33%","44.1%","C:71.56%","D:41.6%","E:72.38%","0","FocusManagerPRC#1--ABTelnetPRC#6--javaw#22","0--0--0","0"
"GREENOK","XACBSV3219P","25,54%","48,22%","9,89%","44.29%","C:71.63%","D:41.52%","E:72.37%","0","javaw#14--wfica32#4--iexplore#5","16--13--9","0"
"GREENOK","XACBSV3219P","25,40%","49,68%","9,00%","44.29%","C:71.63%","D:41.52%","E:72.37%","0","javaw#14--wfica32#4--OUTLOOK#7","22--15--7","0"
"GREENOK","XACBSV3220P","15,08%","19,40%","8,69%","40.76%","C:75.37%","D:41.43%","E:77.06%","0","iexplore#8--OUTLOOK#5--javaw#15","22--7--7","0"
"GREENOK","XACBSV3220P","14,89%","19,40%","8,00%","40.76%","C:75.37%","D:41.43%","E:77.06%","0","iexplore#31--Norskale Agent Host Service--wsmprovhost#1","52--20--12","0"
"GREENOK","XACISV3010P","28,42%","47,16%","13,03%","35.87%","C:70.88%","D:41.33%","E:73.73%","0","EXB600--explorer#1--explorer","76--36--25","0"
"GREENOK","XACISV3010P","27,97%","50,67%","12,36%","35.87%","C:70.88%","D:41.33%","E:73.73%","0","EXB600--javaw--iexplore#12","76--24--24","0"
"GREENOK","XACISV3011P","45,31%","52,97%","36,58%","39.97%","C:73.33%","D:41.32%","E:74.17%","0","javaw#25--MSOSYNC#2--MSOSYNC#3","93--90--87","0"
"GREENOK","XACISV3011P","45,60%","53,73%","35,47%","39.99%","C:73.33%","D:41.32%","E:74.17%","0","javaw#25--MSOSYNC#3--MSOSYNC#2","96--93--86","0"
"GREENOK","XACISV3012P","19,62%","29,88%","13,86%","39.92%","C:70.31%","D:41.38%","E:71.27%","0","wfica32#2--wfica32#1--wfica32#3","7--7--7","0"
"GREENOK","XACISV3012P","19,46%","27,61%","12,77%","39.93%","C:70.31%","D:41.38%","E:71.27%","0","EXCEL#2--wfica32#4--wfica32#1","11--11--11","0"
"GREENOK","XACISV3013P","44,53%","54,88%","35,15%","42.54%","C:73.29%","D:41.12%","E:74.34%","0","iexplore#15--EXB600#1--wfica32#2","96--82--31","0"
"GREENOK","XACISV3013P","44,70%","54,10%","33,01%","42.54%","C:73.29%","D:41.12%","E:74.34%","0","iexplore#15--javaw#12--EXB600#1","100--92--77","0"
"GREENOK","XACISV3014P","23,85%","33,50%","14,67%","37.84%","C:73.1%","D:41.35%","E:74.01%","0","SelfService--Receiver#1--iexplore#18","31--31--19","0"
"GREENOK","XACISV3014P","23,86%","30,84%","13,89%","37.84%","C:73.1%","D:41.35%","E:74.01%","0","SelfService--iexplore#19--Receiver#1","28--28--24","0"
"GREENOK","XACISV3015P","46,83%","54,97%","39,59%","46.63%","C:73.76%","D:41.73%","E:74.66%","0","WinSCP--OUTLOOK#2--wfica32#7","94--24--10","0"
"GREENOK","XACISV3015P","47,31%","58,14%","37,85%","46.62%","C:73.76%","D:41.73%","E:74.66%","0","WinSCP--OUTLOOK#2--wfica32#4","89--23--11","0"
"GREENOK","XACISV3016P","28,35%","41,21%","19,61%","42.55%","C:73.52%","D:41.35%","E:73.9%","0","MSOSYNC#3--EXCEL#8--OSPPSVC","95--65--58","0"
"GREENOK","XACISV3016P","28,36%","41,21%","19,61%","42.55%","C:73.52%","D:41.35%","E:73.9%","0","OSPPSVC--MSOSYNC#3--EXCEL#8","94--94--90","0"
