"Ping","Server","CPU Average / 30 sec","CPU Max","CPU Min","Memory Usage","%Ocupado C:","%Ocupado D:","%Ocupado E:","DiskQueue","3 TopProcess","3 TopProcessPercent","UpTime"
"GREENOK","XACBSV3206P","21,95%","29,95%","13,09%","42.85%","C:71.01%","D:41.18%","E:71.66%","0","iexplore#31--OUTLOOK#1--OUTLOOK#8","22--15--3","0"
"GREENOK","XACBSV3207P","41,86%","66,17%","27,10%","47.05%","C:70.19%","D:41.55%","E:71.14%","0","iexplore#10--explorer#1--javaw#28","21--10--10","0"
"GREENOK","XACBSV3208P","23,09%","29,10%","18,85%","38.23%","C:69.73%","D:41.55%","E:72.06%","0","javaw#14--WINWORD--OUTLOOK#6","41--30--11","0"
"GREENOK","XACBSV3209P","36,42%","47,85%","25,92%","41.14%","C:73.62%","D:41.3%","E:74.31%","0","javaw#17--lsass--OUTLOOK#13","100--14--14","0"
"GREENOK","XACBSV3210P","27,53%","46,28%","14,44%","40.84%","C:72.15%","D:41.45%","E:73%","0","iexplore#19--encsvc--wfica32#1","11--7--7","0"
"GREENOK","XACBSV3211P","27,14%","34,68%","16,94%","44.34%","C:70.7%","D:41.71%","E:72.22%","0","iexplore#11--javaw#34--OUTLOOK#1","26--18--11","0"
"GREENOK","XACBSV3212P","26,00%","34,66%","14,58%","44.45%","C:71.53%","D:41.42%","E:73.01%","0","iexplore#5--OUTLOOK#2--OUTLOOK#4","66--52--20","0"
"GREENOK","XACBSV3213P","37,02%","70,70%","15,82%","39.82%","C:74.09%","D:41.37%","E:74.76%","0","Receiver#4--explorer#13--lsass","99--34--17","0"
"GREENOK","XACBSV3214P","71,18%","87,95%","51,36%","49.65%","C:72.1%","D:41.59%","E:74.26%","0","javaw#2--iexplore#4--iexplore#1","100--54--44","0"
"GREENOK","XACBSV3215P","26,03%","38,83%","11,88%","46.96%","C:74.28%","D:41.42%","E:76.54%","0","OUTLOOK#9--OUTLOOK#3--EXCEL#6","20--13--10","0"
"GREENOK","XACBSV3216P","19,05%","22,75%","15,93%","45.66%","C:72.74%","D:41.59%","E:73.68%","0","javaw#2--wfica32#3--wfica32","48--26--18","0"
"GREENOK","XACBSV3217P","34,24%","54,06%","20,08%","53.7%","C:72.61%","D:41.83%","E:73.26%","0","iexplore#36--MSOSYNC#2--UcMapi#4","99--99--13","0"
"GREENOK","XACBSV3218P","50,49%","63,77%","37,47%","46.07%","C:71.69%","D:41.6%","E:72.58%","0","AcroRd32--MSOSYNC#2--iexplore#13","100--90--48","0"
"GREENOK","XACBSV3219P","22,80%","26,82%","13,43%","45.42%","C:71.73%","D:41.52%","E:72.47%","0","javaw#14--PrintIsolationHost#1--wfica32#5","59--18--14","0"
"GREENOK","XACBSV3220P","12,41%","14,87%","10,58%","42.74%","C:75.74%","D:41.41%","E:77.38%","0","javaw#17--javaw#6--javaw#15","7--3--3","0"
"GREENOK","XACISV3010P","20,23%","27,41%","11,21%","37.22%","C:71.03%","D:41.33%","E:73.88%","0","javaw--iexplore#11--explorer","100--30--27","0"
"GREENOK","XACISV3011P","42,41%","50,13%","37,01%","41.85%","C:73.63%","D:41.32%","E:74.44%","0","MSOSYNC#2--MSOSYNC#3--wfica32#1","91--87--24","0"
"GREENOK","XACISV3012P","22,89%","41,80%","10,36%","41.17%","C:70.54%","D:41.38%","E:71.42%","0","ssonsvr#11--winlogon#12--icak2meng#11","0--0--0","0"
"GREENOK","XACISV3013P","41,48%","52,07%","32,07%","43.8%","C:73.59%","D:41.12%","E:74.5%","0","OUTLOOK#6--OUTLOOK--BrokerAgent","45--39--37","0"
"GREENOK","XACISV3014P","20,41%","43,10%","11,73%","40.3%","C:73.59%","D:41.36%","E:74.38%","0","iexplore#15--OUTLOOK#9--OUTLOOK#7","23--19--7","0"
"GREENOK","XACISV3015P","48,44%","72,46%","31,63%","49.04%","C:73.93%","D:41.73%","E:75.02%","0","WinSCP--PDFCreator--wfica32#6","92--74--17","0"
"GREENOK","XACISV3016P","24,92%","30,01%","17,60%","42.61%","C:73.87%","D:41.35%","E:74.16%","0","MSOSYNC#3--PrintIsolationHost--OUTLOOK","97--7--7","0"
"GREENOK","XACISV3017P","55,10%","72,69%","44,94%","44.57%","C:71.76%","D:41.3%","E:72.25%","0","explorer#11--wfshell#12--ReconnAct#5","0--0--0","0"
"GREENOK","XACISV3018P","71,35%","83,25%","62,44%","45.53%","C:72.57%","D:41.53%","E:72.88%","0","iexplore#26--SelfService#1--OUTLOOK#13","100--93--21","0"
"GREENOK","XACISV3019P","16,03%","28,56%","8,85%","41.83%","C:71.87%","D:41.27%","E:72.56%","0","SelfServicePlugin#7--wfcrun32#7--OUTLOOK#6","0--0--0","0"
"GREENOK","XACISV3020P","45,23%","61,41%","30,31%","42.09%","C:74.31%","D:41.51%","E:74.7%","0","iexplore#17--javaw#8--OUTLOOK#1","100--100--69","0"
"GREENOK","XACISV3021P","26,64%","40,89%","13,49%","43.15%","C:71.32%","D:41.57%","E:74.24%","0","EXCEL--javaw#20--OUTLOOK#1","68--11--7","0"
"GREENOK","XACISV3022P","35,89%","53,49%","28,98%","45.15%","C:71.67%","D:41.36%","E:72.2%","0","iexplore#14--javaw#2--iexplore#19","100--100--39","0"
"GREENOK","XACISV3023P","33,40%","43,78%","19,89%","36.6%","C:70.35%","D:41.33%","E:71.46%","0","MSOSYNC#4--iexplore#9--OUTLOOK#12","94--39--19","0"
"GREENOK","XACISV3040P","50,56%","65,81%","37,87%","47.62%","C:72%","D:41.69%","E:72.9%","0","javaw#22--iexplore#29--javaw#16","54--39--18","0"
"GREENOK","XACISV3041P","31,11%","41,65%","20,89%","51.52%","C:73.49%","D:41.6%","E:74.87%","0","javaw#10--iexplore#5--OUTLOOK#5","96--10--7","0"
"GREENOK","XACISV3042P","52,92%","59,06%","48,10%","42.15%","C:74.86%","D:41.37%","E:75.76%","0","MSOSYNC#4--wfica32#5--OUTLOOK#7","63--8--5","0"
"GREENOK","XACISV3043P","31,85%","41,84%","21,26%","48.85%","C:73.44%","D:41.49%","E:74.56%","0","javaw#20--IeEmbed#1--iexplore#15","41--33--29","0"
"GREENOK","XACISV3087P","22,39%","34,23%","16,41%","41.12%","C:70.16%","D:41.42%","E:71.95%","0","wfica32#2--javaw#14--javaw#22","11--11--11","0"
"GREENOK","XACISV3088P","35,21%","52,97%","25,19%","47.94%","C:72.38%","D:41.26%","E:73.57%","0","wfica32--UcMapi--OUTLOOK#8","17--10--10","0"
"GREENOK","XACISV3089P","51,22%","67,84%","33,07%","48.96%","C:73.18%","D:41.66%","E:74.1%","0","iexplore#28--MSACCESS--OUTLOOK#11","83--60--13","0"
"GREENOK","XACISV3090P","40,62%","62,71%","26,25%","41.91%","C:71.02%","D:41.49%","E:71.5%","0","iexplore#9--iexplore#19--iexplore#21","73--33--33","0"
"GREENOK","XACISV3091P","54,45%","83,32%","39,33%","45.14%","C:71.4%","D:41.53%","E:72.02%","0","iexplore#19--iexplore#21--MobaXterm_Personal_7.6#1","96--96--49","0"
"GREENOK","XACISV3201P","9,67%","19,45%","3,86%","42.53%","C:70.5%","D:41.43%","E:71.43%","0","winlogon#1--AppVStreamingUX#12--icak2meng#12","4--0--0","0"
"GREENOK","XACISV3202P","8,89%","12,39%","3,72%","39.92%","C:71.03%","D:41.19%","E:72.32%","0","iexplore#12--javaw#6--EXCEL#3","36--8--8","0"
"GREENOK","XACISV3203P","18,63%","25,94%","11,74%","47.84%","C:70.63%","D:41.45%","E:71.02%","0","iexplore#26--javaw#26--javaw#8","52--28--16","0"
"GREENOK","XACISV3204P","5,60%","11,70%","1,76%","44.98%","C:70.28%","D:41.59%","E:70.81%","0","iexplore#7--OUTLOOK--iexplore#6","59--8--4","0"
"GREENOK","XACISV3205P","8,17%","14,07%","4,98%","43.81%","C:71.4%","D:41.23%","E:72.47%","0","BrokerAgent--WINWORD#2--OUTLOOK#7","38--15--6","0"
"GREENOK","XACISV3206P","15,34%","32,82%","8,79%","40.91%","C:70.21%","D:41.52%","E:71.22%","0","POWERPNT#1--iexplore#18--iexplore#13","30--8--8","0"
