"Ping","Server","CPU Average / 30 sec","CPU Max","CPU Min","Memory Usage","%Ocupado C:","%Ocupado D:","%Ocupado E:","DiskQueue","3 TopProcess","3 TopProcessPercent","UpTime"
"GREENOK","XACBSV3010P","60,48%","85,56%","33,78%","41.72%","C:73.67%","D:41.52%","E:77.86%","0","iexplore#2--iexplore#14--iexplore#1","99--58--51","0"
"GREENOK","XACBSV3011P","74,28%","84,18%","67,16%","40.51%","C:74.19%","D:41.18%","E:74.42%","0","iexplore#39--iexplore#32--wfica32","100--98--37","0"
"GREENOK","XACBSV3012P","40,21%","67,84%","29,19%","46.27%","C:75.08%","D:41.38%","E:75.2%","0","iexplore#28--MSACCESS#1--wfica32#1","100--53--17","0"
"GREENOK","XACBSV3013P","45,74%","72,69%","23,52%","45.05%","C:70.84%","D:41.65%","E:72.96%","0","EXCEL#4--Magnify--System","88--27--24","0"
"GREENOK","XACBSV3014P","38,65%","55,10%","18,53%","45.58%","C:72.77%","D:41.63%","E:73.38%","0","lync#5--OUTLOOK--OUTLOOK#7","22--14--10","0"
"GREENOK","XACBSV3015P","53,27%","71,40%","33,72%","43.09%","C:70.02%","D:41.68%","E:73.38%","0","iexplore#24--OUTLOOK#5--iexplore#33","67--21--14","0"
"GREENOK","XACBSV3028P","45,82%","77,96%","28,55%","48.16%","C:70.32%","D:41.76%","E:71.82%","0","iexplore#17--FlashUtil64_28_0_0_161_ActiveX#3--OUTLOOK#8","100--39--35","0"
"GREENOK","XACBSV3029P","38,49%","53,13%","29,79%","40.51%","C:70.56%","D:41.33%","E:71.4%","0","MSOSYNC#1--splwow64#8--iexplore#4","91--74--29","0"
"GREENOK","XACBSV3030P","54,74%","58,96%","45,92%","46.49%","C:73.66%","D:41.18%","E:74.05%","0","javaw#2--MSOSYNC#2--iexplore#16","85--85--85","0"
"GREENOK","XACBSV3031P","20,18%","40,89%","11,64%","39.36%","C:72.85%","D:41.35%","E:73.85%","0","wfica32#4--wfica32#2--wfica32#6","21--8--8","0"
"GREENOK","XACBSV3202P","26,06%","37,90%","17,57%","48.47%","C:72.26%","D:41.45%","E:75.81%","0","javaw#6--iexplore#7--iexplore#25","75--58--16","0"
"GREENOK","XACBSV3203P","13,99%","19,81%","7,65%","41.5%","C:72.82%","D:41.49%","E:73.85%","0","OUTLOOK#2--javaw#18--wfica32#1","11--11--11","0"
"GREENOK","XACBSV3204P","22,48%","37,10%","10,81%","44.09%","C:70.84%","D:41.32%","E:72.34%","0","explorer#10--WINWORD#1--javaw","52--22--11","0"
"GREENOK","XACBSV3205P","63,63%","84,82%","35,96%","49.65%","C:71.53%","D:41.27%","E:72.34%","0","MSACCESS--IeEmbed#1--iexplore#5","100--100--49","0"
